offset|type|name|id|url
3|category|All Things Hubspot|147727|https://app.tettra.co/teams/measurabl/categories/147727
3-0|folder|Technical & Compliance Pages|15989|https://app.tettra.co/teams/measurabl/categories/147727/folders/15989
3-0-0|page|Hubspot CRM|hubspot-crm|https://app.tettra.co/teams/measurabl/pages/hubspot-crm
3-0-1|page|Hubspot Integration|hubspot-integration|https://app.tettra.co/teams/measurabl/pages/hubspot-integration
3-0-2|page|Hubspot - Testing API|hubspot-testing-api|https://app.tettra.co/teams/measurabl/pages/hubspot-testing-api
3-0-3|page|GDPR Compliance|gdpr-compliance|https://app.tettra.co/teams/measurabl/pages/gdpr-compliance
3-1|folder|Hubspot How to & Training|15988|https://app.tettra.co/teams/measurabl/categories/147727/folders/15988
3-1-0|page|How to create a Quote in Hubspot|how-to-create-a-quote-in-hubspot|https://app.tettra.co/teams/measurabl/pages/how-to-create-a-quote-in-hubspot
3-1-1|page|How to use Products in Hubspot|how-to-use-products-in-hubspot|https://app.tettra.co/teams/measurabl/pages/how-to-use-products-in-hubspot
3-1-2|page|How to find the leads in Hubspot|how-to-find-the-leads-in-hubspot|https://app.tettra.co/teams/measurabl/pages/how-to-find-the-leads-in-hubspot
3-1-3|page|Opportunity Creation & Validation Process|opportunity-creation-validation-process|https://app.tettra.co/teams/measurabl/pages/opportunity-creation-validation-process
3-2|folder|Customer Success|15987|https://app.tettra.co/teams/measurabl/categories/147727/folders/15987
3-3|folder|Sales|15986|https://app.tettra.co/teams/measurabl/categories/147727/folders/15986
3-3-0|page|Deal Types in Hubspot|deal-types-in-hubspot|https://app.tettra.co/teams/measurabl/pages/deal-types-in-hubspot
3-3-1|page|Deal Stages for Hubspot Current Sales Pipeline|deal-stages-for-hubspot-current-sales-pipeline|https://app.tettra.co/teams/measurabl/pages/deal-stages-for-hubspot-current-sales-pipeline
3-4|folder|Marketing|15985|https://app.tettra.co/teams/measurabl/categories/147727/folders/15985
3-5|page|Our Products in Hubspot|our-products-in-hubspot|https://app.tettra.co/teams/measurabl/pages/our-products-in-hubspot
3-6|page|Hubspot Knowledge Transfer|hubspot-knowledge-transfer|https://app.tettra.co/teams/measurabl/pages/hubspot-knowledge-transfer
4|category|New Employee Onboarding|137283|https://app.tettra.co/teams/measurabl/categories/137283
4-0|page|Security & Phishing - HelpDesk|security-phishing-helpdesk|https://app.tettra.co/teams/measurabl/pages/security-phishing-helpdesk
4-1|page|On Boarding Roadmap for new CS team members|on-boarding-roadmap-for-new-cs-team-members|https://app.tettra.co/teams/measurabl/pages/on-boarding-roadmap-for-new-cs-team-members
4-2|page|Using the Hello Videoconferencing Cameras|using-the-hello-videoconferencing-cameras|https://app.tettra.co/teams/measurabl/pages/using-the-hello-videoconferencing-cameras
4-3|page|Explaining Measurabl Concisely - from a new MSR employee|explaining-measurabl-concisely-from-a-new-msr-employee|https://app.tettra.co/teams/measurabl/pages/explaining-measurabl-concisely-from-a-new-msr-employee
5|category|Product|137285|https://app.tettra.co/teams/measurabl/categories/137285
5-0|folder|Team Notes|12780|https://app.tettra.co/teams/measurabl/categories/137285/folders/12780
5-0-0|page|Metabase|metabase|https://app.tettra.co/teams/measurabl/pages/metabase
5-0-1|page|Product Committee Process|product-committee-process|https://app.tettra.co/teams/measurabl/pages/product-committee-process
5-0-2|page|Feature Request Transition Plan|feature-request-transition-plan|https://app.tettra.co/teams/measurabl/pages/feature-request-transition-plan
